Item,RC1,RC2,Label
ELECTRICITY,0.7804974449663996,0.14397696332093743,Electricity
MODERNSTOVE,0.4716282531152916,0.3538054877681993,Modern stove
TV,0.7044518515046476,0.20682665365837608,TV
PIPEWATER,0.48977854711407803,0.26709932782945345,Piped water
FRIDGE,0.5111761376125119,0.2992866810421596,Fridge
RADIO,0.0207649253602395,0.04747274531821172,Radio
ROOFMETALWOOD,0.7578007823676135,-0.23653945978816054,Metal roof
ROOFTHATCHTARP,-0.7756863940547035,0.21729760376358645,Thatch roof
FLOORCEMENT,0.7969909302026069,0.2483970506215674,Cement floor
FLOORWOOD,-0.1043559736400662,-0.634012852539818,Plank floor
FLOORDIRT,-0.36857292110379697,-0.09952182653809462,Dirt floor
FLOORBAMBOO,-0.6160836344014095,0.30696678537890204,Bamboo floor
WALLCEMENT,0.6848332933167274,0.47103171075928296,Cement wall
WALLWOOD,0.1784713943143845,-0.7022289169316603,Wood wall
WALLMETAL,0.010594761613396375,-0.25174935026530854,Metal wall
WALLBAMBOOMUD,-0.8198167695347922,0.14434082446587937,Bamboo wall
SS loadings,5.3399787581208615,1.8220372748768607,NA
Proportion Var,0.33374867238255385,0.1138773296798038,NA
Cumulative Var,0.33374867238255385,0.44762600206235764,NA
Proportion Explained,0.7455971521870174,0.25440284781298256,NA
Cumulative Proportion,0.7455971521870174,1,NA
